scheduler,K,seed,n,quorum,surplus,T,steps,timeouts,decisions,retries,max_ballot,reached_step_cap,safety
uniform-budget-delay,60,41,25,13,12,100,161,0,1,0,0,false,false
uniform-budget-delay,60,42,25,13,12,100,161,0,1,0,0,false,false
uniform-budget-delay,60,43,25,13,12,100,161,0,1,0,0,false,false
uniform-budget-delay,60,44,25,13,12,100,161,0,1,0,0,false,false
uniform-budget-delay,60,45,25,13,12,100,161,0,1,0,0,false,false
uniform-budget-delay,60,46,25,13,12,100,161,0,1,0,0,false,false
uniform-budget-delay,60,47,25,13,12,100,161,0,1,0,0,false,false
uniform-budget-delay,60,48,25,13,12,100,161,0,1,0,0,false,false
uniform-budget-delay,60,49,25,13,12,100,161,0,1,0,0,false,false
uniform-budget-delay,60,50,25,13,12,100,161,0,1,0,0,false,false
progress-aware-quorum-delay,60,1,25,13,12,100,161,0,1,0,0,false,false
progress-aware-quorum-delay,60,2,25,13,12,100,161,0,1,0,0,false,false
progress-aware-quorum-delay,60,3,25,13,12,100,161,0,1,0,0,false,false
progress-aware-quorum-delay,60,4,25,13,12,100,161,0,1,0,0,false,false
progress-aware-quorum-delay,60,5,25,13,12,100,161,0,1,0,0,false,false
progress-aware-quorum-delay,60,6,25,13,12,100,161,0,1,0,0,false,false
progress-aware-quorum-delay,60,7,25,13,12,100,161,0,1,0,0,false,false
progress-aware-quorum-delay,60,8,25,13,12,100,161,0,1,0,0,false,false
progress-aware-quorum-delay,60,9,25,13,12,100,161,0,1,0,0,false,false
progress-aware-quorum-delay,60,10,25,13,12,100,161,0,1,0,0,false,false
progress-aware-quorum-delay,60,11,25,13,12,100,161,0,1,0,0,false,false
progress-aware-quorum-delay,60,12,25,13,12,100,161,0,1,0,0,false,false
progress-aware-quorum-delay,60,13,25,13,12,100,161,0,1,0,0,false,false
progress-aware-quorum-delay,60,14,25,13,12,100,161,0,1,0,0,false,false
progress-aware-quorum-delay,60,15,25,13,12,100,161,0,1,0,0,false,false
progress-aware-quorum-delay,60,16,25,13,12,100,161,0,1,0,0,false,false
progress-aware-quorum-delay,60,17,25,13,12,100,161,0,1,0,0,false,false
